"epidemiological_week","date","order_for_place","state","city","city_ibge_code","place_type","last_available_confirmed","last_available_confirmed_per_100k_inhabitants","new_confirmed","last_available_deaths","new_deaths","last_available_death_rate","estimated_population","is_last","is_repeated"
53,"2021-01-02",292,"AC",,12,"state",41941,"4688.92193",252,798,2,19,894470,"True","False"
53,"2021-01-02",301,"AL",,27,"state",105361,"3143.65652",270,2502,6,"0.0237",3351543,"True","False"
53,"2021-01-02",296,"AM",,13,"state",201867,"4797.54565",293,5325,30,"0.0264",4207714,"True","False"
53,"2021-01-02",289,"AP",,16,"state",68441,"7941.88261",80,927,1,"0.0135",861773,"True","False"
53,"2021-01-02",303,"BA",,29,"state",495286,"3317.24694",602,9187,28,"0.0185",14930634,"True","False"
53,"2021-01-02",293,"CE",,23,"state",336574,"3663.54878",70,10015,11,"0.0298",9187103,"True","False"
53,"2021-01-02",302,"DF",,53,"state",252873,"8276.94492",796,4265,2,"0.0169",3055149,"True","False"
53,"2021-01-02",304,"ES",,32,"state",250244,"6157.49995",973,5115,22,"0.0204",4064052,"True","False"
53,"2021-01-02",297,"GO",,52,"state",309320,"4348.32727",129,6805,0,22,7113540,"True","False"
53,"2021-01-02",289,"MA",,21,"state",200976,"2824.83986",17,4513,7,"0.0225",7114598,"True","False"
53,"2021-01-02",301,"MG",,31,"state",549302,"2579.77089",2418,12023,22,"0.0219",21292666,"True","False"
53,"2021-01-02",295,"MS",,50,"state",135361,"4818.15651",0,2360,0,"0.0174",2809394,"False","True"
53,"2021-01-02",289,"MT",,51,"state",180901,"5130.16772",242,4539,9,"0.0251",3526220,"True","False"
53,"2021-01-02",291,"PA",,15,"state",294010,"3383.02413",203,7217,8,"0.0245",8690745,"True","False"
53,"2021-01-02",297,"PB",,25,"state",167615,"4149.62876",553,3692,12,22,4039277,"True","False"
53,"2021-01-02",297,"PE",,26,"state",223325,"2322.28139",332,9674,8,"0.0433",9616621,"True","False"
53,"2021-01-02",290,"PI",,22,"state",143489,"4372.69159",279,2854,6,"0.0199",3281480,"True","False"
53,"2021-01-02",297,"PR",,41,"state",419615,"3643.49075",1292,8001,8,"0.0191",11516840,"True","False"
53,"2021-01-02",304,"RJ",,33,"state",435604,"2508.34538",214,25608,8,"0.0588",17366189,"True","False"
53,"2021-01-02",297,"RN",,24,"state",119338,"3376.69577",0,3009,0,"0.0252",3534165,"False","True"
53,"2021-01-02",289,"RO",,11,"state",96433,"5367.94585",434,1825,3,"0.0189",1796460,"True","False"
53,"2021-01-02",288,"RR",,14,"state",68875,"10912.08386",48,787,0,"0.0114",631181,"True","False"
53,"2021-01-02",299,"RS",,43,"state",452920,"3964.9923",1008,8934,17,"0.0197",11422973,"True","False"
53,"2021-01-02",297,"SC",,42,"state",496524,"6846.24423",2077,5294,24,"0.0107",7252502,"True","False"
53,"2021-01-02",295,"SE",,28,"state",113916,"4912.66686",372,2500,8,"0.0219",2318822,"True","False"
53,"2021-01-02",313,"SP",,35,"state",1467953,"3171.25546",1762,46808,33,"0.0319",46289333,"True","False"
53,"2021-01-02",291,"TO",,17,"state",90592,"5696.72152",0,1239,0,"0.0137",1590248,"False","True"
53,"2021-01-01",291,"AC",,12,"state",41689,"4660.74882",69,796,1,"0.0191",894470,"False","False"
53,"2021-01-01",300,"AL",,27,"state",105091,"3135.60053",273,2496,7,"0.0238",3351543,"False","False"
53,"2021-01-01",295,"AM",,13,"state",201574,"4790.58225",561,5295,10,"0.0263",4207714,"False","False"
53,"2021-01-01",288,"AP",,16,"state",68361,"7932.59942",160,926,1,"0.0135",861773,"False","False"
53,"2021-01-01",302,"BA",,29,"state",494684,"3313.21496",1284,9159,30,"0.0185",14930634,"False","False"
53,"2021-01-01",292,"CE",,23,"state",336504,"3662.78684",512,10004,11,"0.0297",9187103,"False","False"
53,"2021-01-01",301,"DF",,53,"state",252077,"8250.89055",376,4263,4,"0.0169",3055149,"False","False"
53,"2021-01-01",303,"ES",,32,"state",249271,"6133.55833",1020,5093,12,"0.0204",4064052,"False","False"
53,"2021-01-01",296,"GO",,52,"state",309191,"4346.51383",81,6805,0,22,7113540,"False","False"
53,"2021-01-01",288,"MA",,21,"state",200959,"2824.60091",21,4506,6,"0.0224",7114598,"False","False"
53,"2021-01-01",300,"MG",,31,"state",546884,"2568.41487",3975,12001,99,"0.0219",21292666,"False","False"
53,"2021-01-01",294,"MS",,50,"state",135361,"4818.15651",611,2360,13,"0.0174",2809394,"True","False"
53,"2021-01-01",288,"MT",,51,"state",180659,"5123.30484",208,4530,10,"0.0251",3526220,"False","False"
53,"2021-01-01",290,"PA",,15,"state",293807,"3380.68831",5,7209,10,"0.0245",8690745,"False","False"
53,"2021-01-01",296,"PB",,25,"state",167062,"4135.93819",578,3680,8,22,4039277,"False","False"
53,"2021-01-01",296,"PE",,26,"state",222993,"2318.82904",827,9666,12,"0.0433",9616621,"False","False"
53,"2021-01-01",289,"PI",,22,"state",143210,"4364.18933",31,2848,8,"0.0199",3281480,"False","False"
53,"2021-01-01",296,"PR",,41,"state",418323,"3632.27239",1757,7993,19,"0.0191",11516840,"False","False"
53,"2021-01-01",303,"RJ",,33,"state",435390,"2507.1131",742,25600,70,"0.0588",17366189,"False","False"
53,"2021-01-01",296,"RN",,24,"state",119338,"3376.69577",610,3009,2,"0.0252",3534165,"True","False"
53,"2021-01-01",288,"RO",,11,"state",95999,"5343.78723",270,1822,5,19,1796460,"False","False"
53,"2021-01-01",287,"RR",,14,"state",68827,"10904.47906",23,787,0,"0.0114",631181,"False","False"
53,"2021-01-01",298,"RS",,43,"state",451912,"3956.16798",2238,8917,45,"0.0197",11422973,"False","False"
53,"2021-01-01",296,"SC",,42,"state",494447,"6817.60584",1864,5270,17,"0.0107",7252502,"False","False"
53,"2021-01-01",294,"SE",,28,"state",113544,"4896.62423",1039,2492,8,"0.0219",2318822,"False","False"
53,"2021-01-01",312,"SP",,35,"state",1466191,"3167.44897",3894,46775,58,"0.0319",46289333,"False","False"
53,"2021-01-01",290,"TO",,17,"state",90592,"5696.72152",56,1239,3,"0.0137",1590248,"True","False"
53,"2020-12-31",290,"AC",,12,"state",41620,"4653.03476",265,795,2,"0.0191",894470,"False","False"
53,"2020-12-31",299,"AL",,27,"state",104818,"3127.45503",319,2489,7,"0.0237",3351543,"False","False"
53,"2020-12-31",294,"AM",,13,"state",201013,"4777.24959",1443,5285,27,"0.0263",4207714,"False","False"
53,"2020-12-31",287,"AP",,16,"state",68201,"7914.03305",499,925,6,"0.0136",861773,"False","False"
53,"2020-12-31",301,"BA",,29,"state",493400,"3304.6152",2862,9129,29,"0.0185",14930634,"False","False"
